CMA,CDUID,Province,RCP,GCM,Era,Number of heat hospitalizations per year
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp85,GFDL-CM3,2050s,47.51585558
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp85,GFDL-CM3,2080s,63.80920516
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp85,GFDL-ESM2M,2050s,14.23418207
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp85,GFDL-ESM2M,2080s,19.61840858
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp85,HadGEM2-AO,2050s,40.10960479
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp85,HadGEM2-AO,2080s,53.76490819
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp85,HadGEM2-ES,2050s,42.67496373
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp85,HadGEM2-ES,2080s,59.45461589
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp85,MIROC-ESM-CHEM,2050s,49.95996423
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp85,MIROC-ESM-CHEM,2080s,62.71746316
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp85,MRI-CGCM3,2050s,15.98363352
Strong metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine forte (T.-N.-L.),1006,Newfoundland and Labrador,rcp85,MRI-CGCM3,2080s,30.21533366
Weak metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine faible (T.-N.-L.),1007,Newfoundland and Labrador,rcp45,CCSM4,2050s,13.06129779
Weak metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine faible (T.-N.-L.),1007,Newfoundland and Labrador,rcp45,CCSM4,2080s,9.156734684
Weak metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine faible (T.-N.-L.),1007,Newfoundland and Labrador,rcp45,GFDL-CM3,2050s,33.96225312
Weak metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine faible (T.-N.-L.),1007,Newfoundland and Labrador,rcp45,GFDL-CM3,2080s,34.61992978
Weak metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine faible (T.-N.-L.),1007,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2050s,7.871820742
Weak metropolitan influenced zone (N.L.) / Zone d'influence métropolitaine faible (T.-N.-L.),1007,Newfoundland and Labrador,rcp45,GFDL-ESM2M,2080s,3.100478817
