,Project,Adaptation,Outcome,Unit,GCM,RCP,yr,Era,Level,Province,ID,Avg,Low,High
123,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),CCSM4,High-emissions,2050,2050s,PT,Alberta,4,7227.228863,7227.228863,7227.228863
124,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),GFDL-CM3,High-emissions,2050,2050s,PT,Alberta,4,6281.710238,6281.710238,6281.710238
125,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),GFDL-ESM2M,High-emissions,2050,2050s,PT,Alberta,4,3700.875502,3700.875502,3700.875502
126,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),HadGEM2-AO,High-emissions,2050,2050s,PT,Alberta,4,10965.81631,10965.81631,10965.81631
127,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),HadGEM2-ES,High-emissions,2050,2050s,PT,Alberta,4,9141.761628,9141.761628,9141.761628
128,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),MIROC-ESM-CHEM,High-emissions,2050,2050s,PT,Alberta,4,9599.230803,9599.230803,9599.230803
129,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),MRI-CGCM3,High-emissions,2050,2050s,PT,Alberta,4,2489.382762,2489.382762,2489.382762
130,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),CCSM4,High-emissions,2080,2080s,PT,Alberta,4,20577.49777,20577.49777,20577.49777
131,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),GFDL-CM3,High-emissions,2080,2080s,PT,Alberta,4,19043.99587,19043.99587,19043.99587
132,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),GFDL-ESM2M,High-emissions,2080,2080s,PT,Alberta,4,10490.02983,10490.02983,10490.02983
133,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),HadGEM2-AO,High-emissions,2080,2080s,PT,Alberta,4,29163.82129,29163.82129,29163.82129
134,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),HadGEM2-ES,High-emissions,2080,2080s,PT,Alberta,4,27713.80845,27713.80845,27713.80845
135,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),MIROC-ESM-CHEM,High-emissions,2080,2080s,PT,Alberta,4,26374.59027,26374.59027,26374.59027
136,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),MRI-CGCM3,High-emissions,2080,2080s,PT,Alberta,4,9128.902904,9128.902904,9128.902904
137,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,CCSM4,Low-emissions,2050,2050s,PT,British Columbia,6,689.6795966,689.6795966,689.6795966
138,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-CM3,Low-emissions,2050,2050s,PT,British Columbia,6,833.5705038,833.5705038,833.5705038
139,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-ESM2M,Low-emissions,2050,2050s,PT,British Columbia,6,212.284804,212.284804,212.284804
140,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-AO,Low-emissions,2050,2050s,PT,British Columbia,6,984.8022026,984.8022026,984.8022026
141,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-ES,Low-emissions,2050,2050s,PT,British Columbia,6,902.2973692,902.2973692,902.2973692
142,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MIROC-ESM-CHEM,Low-emissions,2050,2050s,PT,British Columbia,6,762.9529166,762.9529166,762.9529166
143,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MRI-CGCM3,Low-emissions,2050,2050s,PT,British Columbia,6,300.6163556,300.6163556,300.6163556
144,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,CCSM4,Low-emissions,2080,2080s,PT,British Columbia,6,1067.696118,1067.696118,1067.696118
145,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-CM3,Low-emissions,2080,2080s,PT,British Columbia,6,1265.084862,1265.084862,1265.084862
146,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-ESM2M,Low-emissions,2080,2080s,PT,British Columbia,6,414.0424393,414.0424393,414.0424393
147,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-AO,Low-emissions,2080,2080s,PT,British Columbia,6,1714.411061,1714.411061,1714.411061
148,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-ES,Low-emissions,2080,2080s,PT,British Columbia,6,1471.381406,1471.381406,1471.381406
149,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MIROC-ESM-CHEM,Low-emissions,2080,2080s,PT,British Columbia,6,1200.589712,1200.589712,1200.589712
150,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MRI-CGCM3,Low-emissions,2080,2080s,PT,British Columbia,6,623.1954181,623.1954181,623.1954181
151,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,CCSM4,High-emissions,2050,2050s,PT,British Columbia,6,913.0294565,913.0294565,913.0294565
152,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-CM3,High-emissions,2050,2050s,PT,British Columbia,6,1010.840026,1010.840026,1010.840026
153,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-ESM2M,High-emissions,2050,2050s,PT,British Columbia,6,491.7925349,491.7925349,491.7925349
154,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-AO,High-emissions,2050,2050s,PT,British Columbia,6,1375.344503,1375.344503,1375.344503
155,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-ES,High-emissions,2050,2050s,PT,British Columbia,6,1175.180415,1175.180415,1175.180415
156,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MIROC-ESM-CHEM,High-emissions,2050,2050s,PT,British Columbia,6,916.6974302,916.6974302,916.6974302
157,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MRI-CGCM3,High-emissions,2050,2050s,PT,British Columbia,6,425.7834265,425.7834265,425.7834265
158,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,CCSM4,High-emissions,2080,2080s,PT,British Columbia,6,1934.478112,1934.478112,1934.478112
159,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-CM3,High-emissions,2080,2080s,PT,British Columbia,6,2008.657773,2008.657773,2008.657773
160,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,GFDL-ESM2M,High-emissions,2080,2080s,PT,British Columbia,6,1106.58791,1106.58791,1106.58791
161,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-AO,High-emissions,2080,2080s,PT,British Columbia,6,2731.556863,2731.556863,2731.556863
162,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,HadGEM2-ES,High-emissions,2080,2080s,PT,British Columbia,6,2541.416927,2541.416927,2541.416927
163,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MIROC-ESM-CHEM,High-emissions,2080,2080s,PT,British Columbia,6,1910.331266,1910.331266,1910.331266
164,Health,No adaptation,Ground-level ozone health impacts,Number of deaths,MRI-CGCM3,High-emissions,2080,2080s,PT,British Columbia,6,1049.107387,1049.107387,1049.107387
165,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),CCSM4,Low-emissions,2050,2050s,PT,British Columbia,6,6435.767436,6435.767436,6435.767436
166,Health,No adaptation,Ground-level ozone health impacts,Total cost (millions $),GFDL-CM3,Low-emissions,2050,2050s,PT,British Columbia,6,7778.490085,7778.490085,7778.490085
