GCM,RCP,Province,Era,disp_heat_deaths,premature_heat_deaths,heat_deaths_total
GFDL-CM3,RCP 8.5,Alberta,2080s,49.1398062,40.20529598,89.34510218
GFDL-CM3,RCP 8.5,British Columbia,2050s,41.97593524,34.34394701,76.31988225
GFDL-CM3,RCP 8.5,British Columbia,2080s,78.52079457,64.24428647,142.765081
GFDL-CM3,RCP 8.5,Manitoba,2050s,10.2162812,8.35877553,18.57505673
GFDL-CM3,RCP 8.5,Manitoba,2080s,20.46776784,16.74635551,37.21412335
GFDL-CM3,RCP 8.5,New Brunswick,2050s,8.574609639,7.015589704,15.59019934
GFDL-CM3,RCP 8.5,New Brunswick,2080s,13.14258829,10.75302679,23.89561508
GFDL-CM3,RCP 8.5,Newfoundland and Labrador,2050s,4.522631398,3.70033478,8.222966178
GFDL-CM3,RCP 8.5,Newfoundland and Labrador,2080s,6.134546019,5.019174016,11.15372003
GFDL-CM3,RCP 8.5,Northwest Territories,2050s,0.077701479,0.063573938,0.141275417
GFDL-CM3,RCP 8.5,Northwest Territories,2080s,0.159789612,0.130736955,0.290526568
GFDL-CM3,RCP 8.5,Nova Scotia,2050s,10.72739355,8.776958357,19.5043519
GFDL-CM3,RCP 8.5,Nova Scotia,2080s,16.22573361,13.27560022,29.50133383
GFDL-CM3,RCP 8.5,Nunavut,2050s,0.013093127,0.010712559,0.023805686
GFDL-CM3,RCP 8.5,Nunavut,2080s,0.049025294,0.040111604,0.089136898
GFDL-CM3,RCP 8.5,Ontario,2050s,115.6165743,94.595379,210.2119533
GFDL-CM3,RCP 8.5,Ontario,2080s,204.650908,167.441652,372.09256
GFDL-CM3,RCP 8.5,Prince Edward Island,2050s,1.587778243,1.299091289,2.886869532
GFDL-CM3,RCP 8.5,Prince Edward Island,2080s,2.977903519,2.436466515,5.414370034
GFDL-CM3,RCP 8.5,Quebec,2050s,72.66528309,59.45341344,132.1186965
GFDL-CM3,RCP 8.5,Quebec,2080s,119.4050201,97.69501646,217.1000366
GFDL-CM3,RCP 8.5,Saskatchewan,2050s,10.20898371,8.352804857,18.56178857
GFDL-CM3,RCP 8.5,Saskatchewan,2080s,21.90654916,17.92354022,39.83008938
GFDL-CM3,RCP 8.5,Yukon,2050s,0.078653187,0.064352608,0.143005795
GFDL-CM3,RCP 8.5,Yukon,2080s,0.264382703,0.216313121,0.480695824
GFDL-ESM2M,RCP 4.5,Alberta,2050s,4.698206463,3.843987106,8.542193569
GFDL-ESM2M,RCP 4.5,Alberta,2080s,10.78399082,8.82326522,19.60725604
GFDL-ESM2M,RCP 4.5,British Columbia,2050s,10.16111653,8.313640799,18.47475733
GFDL-ESM2M,RCP 4.5,British Columbia,2080s,17.4144632,14.24819717,31.66266037
GFDL-ESM2M,RCP 4.5,Manitoba,2050s,1.165005599,0.9531864,2.118191999
GFDL-ESM2M,RCP 4.5,Manitoba,2080s,2.948974108,2.412796997,5.361771105
